Crash_ID,State,Crash_Type,Road_User,Year,Age,Gender
20203126,Qld,Multiple,Driver,2020,43,Female
20203044,Qld,Multiple,Driver,2020,39,Female
20203157,Qld,Multiple,Driver,2020,32,Female
20203158,Qld,Single,Motorcycle rider,2020,40,Male
20203145,Qld,Single,Driver,2020,56,Male
20203061,Qld,Single,Driver,2020,29,Male
20203217,Qld,Multiple,Motorcycle rider,2020,63,Male
20203182,Qld,Multiple,Driver,2020,28,Male
20203125,Qld,Single,Driver,2020,75,Male
20203093,Qld,Multiple,Driver,2020,23,Male
20203024,Qld,Single,Driver,2020,29,Female
20203034,Qld,Single,Motorcycle rider,2020,39,Male
20203118,Qld,Single,Driver,2020,22,Male
20203136,Qld,Multiple,Driver,2020,79,Female
20203239,Qld,Multiple,Driver,2020,25,Male
20203183,Qld,Multiple,Driver,2020,28,Male
20202153,Vic,Multiple,Motorcycle rider,2020,26,Male
20202108,Vic,Multiple,Pedal cyclist,2020,51,Male
20202123,Vic,Single,Driver,2020,62,Male
20202186,Vic,Single,Driver,2020,70,Female
20202076,Vic,Multiple,Motorcycle rider,2020,57,Male
20202020,Vic,Single,Motorcycle rider,2020,61,Male
20202024,Vic,Single,Driver,2020,53,Male
20202025,Vic,Single,Driver,2020,81,Male
20202086,Vic,Multiple,Driver,2020,16,Female
20202158,Vic,Multiple,Driver,2020,83,Male
20202026,Vic,Multiple,Driver,2020,24,Male
20202174,Vic,Single,Driver,2020,44,Female
20202030,Vic,Single,Motorcycle rider,2020,69,Male
20202118,Vic,Single,Driver,2020,17,Male
20202112,Vic,Multiple,Pedal cyclist,2020,47,Male
20202008,Vic,Multiple,Motorcycle rider,2020,62,Male
20202113,Vic,Multiple,Driver,2020,80,Male
20202121,Vic,Multiple,Driver,2020,87,Male
20202038,Vic,Single,Motorcycle rider,2020,40,Male
20202051,Vic,Single,Driver,2020,29,Male
20202092,Vic,Multiple,Driver,2020,75,Female
20202102,Vic,Single,Driver,2020,25,Male
20202012,Vic,Single,Driver,2020,21,Male
20202182,Vic,Multiple,Driver,2020,52,Female
20202061,Vic,Single,Motorcycle rider,2020,40,Male
20202005,Vic,Single,Driver,2020,36,Female
20202006,Vic,Single,Driver,2020,43,Male
20202109,Vic,Multiple,Driver,2020,19,Male
20202027,Vic,Multiple,Motorcycle rider,2020,36,Male
20202187,Vic,Multiple,Motorcycle rider,2020,25,Male
20202116,Vic,Single,Driver,2020,52,Male
20202093,Vic,Multiple,Driver,2020,72,Male
20202178,Vic,Single,Driver,2020,28,Male
20202134,Vic,Multiple,Driver,2020,73,Male
20202184,Vic,Multiple,Driver,2020,78,Male
20202031,Vic,Multiple,Driver,2020,50,Male
20202127,Vic,Multiple,Driver,2020,25,Male
20202085,Vic,Multiple,Driver,2020,33,Female
20205048,WA,Single,Driver,2020,25,Male
20205078,WA,Multiple,Motorcycle rider,2020,53,Male
20205022,WA,Single,Driver,2020,64,Male
20205085,WA,Multiple,Driver,2020,58,Male
20205085,WA,Multiple,Driver,2020,56,Male
20205062,WA,Multiple,Motorcycle rider,2020,39,Male
20205079,WA,Multiple,Driver,2020,75,Male
20205031,WA,Single,Driver,2020,25,Male
20205087,WA,Single,Driver,2020,51,Male
20205136,WA,Single,Motorcycle rider,2020,48,Male
20205099,WA,Single,Driver,2020,40,Male
20205037,WA,Multiple,Driver,2020,57,Female
20205126,WA,Multiple,Driver,2020,36,Male
20205090,WA,Single,Driver,2020,17,Female
20205125,WA,Multiple,Driver,2020,58,Female
20205115,WA,Single,Motorcycle rider,2020,42,Male
20205028,WA,Multiple,Motorcycle rider,2020,58,Male
20205088,WA,Single,Driver,2020,88,Female
20205131,WA,Single,Driver,2020,17,Male
20205027,WA,Multiple,Driver,2020,48,Male
20205041,WA,Single,Driver,2020,60,Male
20205101,WA,Single,Driver,2020,24,Male
20205032,WA,Single,Driver,2020,41,Male
20205104,WA,Multiple,Motorcycle rider,2020,62,Male
20205046,WA,Single,Driver,2020,59,Male
20205133,WA,Single,Driver,2020,31,Male
20205005,WA,Single,Motorcycle rider,2020,35,Male
