,Crash_ID,Counter,Year,State,Crash_Type,Road_User,Gender,Age,Age_Group,Age_Category,Gender_rank,Crash_Type_rank,Road_User_rank
18888,20067019,1,2006,NT,Multiple,Driver,Male,32,26_to_39,27-36 Years,2,2,1
18889,20067017,1,2006,NT,Multiple,Pedestrian,Male,30,26_to_39,27-36 Years,2,2,5
18890,20067010,1,2006,NT,Single,Driver,Male,45,40_to_64,37-46 Years,2,1,1
18891,20067020,1,2006,NT,Single,Driver,Female,51,40_to_64,47-56 Years,1,1,1
18892,20063190,1,2006,Qld,Single,Motorcycle rider,Male,16,0_to_16,<16 Years,2,1,2
18893,20063043,1,2006,Qld,Single,Driver,Male,19,17_to_25,17-26 Years,2,1,1
18894,20063043,1,2006,Qld,Single,Passenger,Female,19,17_to_25,17-26 Years,1,1,4
18895,20063137,1,2006,Qld,Single,Passenger,Male,21,17_to_25,17-26 Years,2,1,4
18896,20063309,1,2006,Qld,Multiple,Driver,Male,17,17_to_25,17-26 Years,2,2,1
18897,20063215,1,2006,Qld,Single,Passenger,Male,17,17_to_25,17-26 Years,2,1,4
18898,20063268,1,2006,Qld,Single,Motorcycle pillion passenger,Male,26,26_to_39,17-26 Years,2,1,6
18899,20063023,1,2006,Qld,Single,Driver,Male,31,26_to_39,27-36 Years,2,1,1
18900,20063301,1,2006,Qld,Multiple,Driver,Male,56,40_to_64,47-56 Years,2,2,1
18901,20063071,1,2006,Qld,Multiple,Driver,Male,38,26_to_39,37-46 Years,2,2,1
18902,20063107,1,2006,Qld,Single,Driver,Male,18,17_to_25,17-26 Years,2,1,1
18903,20063154,1,2006,Qld,Multiple,Driver,Male,31,26_to_39,27-36 Years,2,2,1
18904,20063277,1,2006,Qld,Single,Driver,Male,56,40_to_64,47-56 Years,2,1,1
18905,20063265,1,2006,Qld,Single,Passenger,Male,48,40_to_64,47-56 Years,2,1,4
18906,20063174,1,2006,Qld,Multiple,Driver,Male,17,17_to_25,17-26 Years,2,2,1
18907,20063134,1,2006,Qld,Single,Driver,Female,18,17_to_25,17-26 Years,1,1,1
18908,20063308,1,2006,Qld,Multiple,Driver,Male,37,26_to_39,37-46 Years,2,2,1
18909,20063078,1,2006,Qld,Multiple,Driver,Male,85,75_or_older,67+ Years,2,2,1
18910,20063104,1,2006,Qld,Multiple,Driver,Male,77,75_or_older,67+ Years,2,2,1
18911,20063124,1,2006,Qld,Multiple,Pedal cyclist,Male,24,17_to_25,17-26 Years,2,2,3
18912,20063234,1,2006,Qld,Single,Driver,Male,35,26_to_39,27-36 Years,2,1,1
18913,20063072,1,2006,Qld,Multiple,Driver,Female,57,40_to_64,57-66 Years,1,2,1
18914,20063128,1,2006,Qld,Multiple,Driver,Female,42,40_to_64,37-46 Years,1,2,1
18915,20063127,1,2006,Qld,Single,Driver,Male,64,40_to_64,57-66 Years,2,1,1
18916,20063137,1,2006,Qld,Single,Driver,Male,44,40_to_64,37-46 Years,2,1,1
18917,20063128,1,2006,Qld,Multiple,Passenger,Male,15,0_to_16,<16 Years,2,2,4
18918,20063105,1,2006,Qld,Single,Pedestrian,Male,36,26_to_39,27-36 Years,2,1,5
18919,20063011,1,2006,Qld,Single,Pedestrian,Male,29,26_to_39,27-36 Years,2,1,5
18920,20063118,1,2006,Qld,Multiple,Pedestrian,Male,35,26_to_39,27-36 Years,2,2,5
18921,20063018,1,2006,Qld,Single,Passenger,Male,20,17_to_25,17-26 Years,2,1,4
18922,20063200,1,2006,Qld,Single,Driver,Male,20,17_to_25,17-26 Years,2,1,1
18923,20063154,1,2006,Qld,Multiple,Passenger,Male,51,40_to_64,47-56 Years,2,2,4
18924,20063188,1,2006,Qld,Single,Motorcycle rider,Male,26,26_to_39,17-26 Years,2,1,2
18925,20063052,1,2006,Qld,Single,Driver,Male,33,26_to_39,27-36 Years,2,1,1
18926,20063302,1,2006,Qld,Single,Driver,Male,32,26_to_39,27-36 Years,2,1,1
18927,20063310,1,2006,Qld,Multiple,Motorcycle rider,Male,35,26_to_39,27-36 Years,2,2,2
18928,20063251,1,2006,Qld,Multiple,Driver,Female,47,40_to_64,47-56 Years,1,2,1
18929,20063066,1,2006,Qld,Single,Driver,Male,23,17_to_25,17-26 Years,2,1,1
18930,20063262,1,2006,Qld,Multiple,Motorcycle rider,Male,36,26_to_39,27-36 Years,2,2,2
18931,20063214,1,2006,Qld,Single,Driver,Male,32,26_to_39,27-36 Years,2,1,1
18932,20063081,1,2006,Qld,Single,Driver,Male,37,26_to_39,37-46 Years,2,1,1
18933,20063042,1,2006,Qld,Single,Passenger,Male,18,17_to_25,17-26 Years,2,1,4
18934,20063042,1,2006,Qld,Single,Passenger,Male,19,17_to_25,17-26 Years,2,1,4
18935,20063293,1,2006,Qld,Single,Passenger,Male,17,17_to_25,17-26 Years,2,1,4
18936,20063148,1,2006,Qld,Multiple,Driver,Male,85,75_or_older,67+ Years,2,2,1
18937,20063082,1,2006,Qld,Single,Passenger,Female,15,0_to_16,<16 Years,1,1,4
18938,20063068,1,2006,Qld,Single,Passenger,Male,33,26_to_39,27-36 Years,2,1,4
18939,20063098,1,2006,Qld,Multiple,Driver,Male,56,40_to_64,47-56 Years,2,2,1
18940,20063117,1,2006,Qld,Multiple,Motorcycle rider,Male,53,40_to_64,47-56 Years,2,2,2
